id,severity,bucket,title,labels,file,effort,body
BUG-37,medium,next,"No test for Payrexx webhook handler","audit-2026-04,severity:medium,type:test,area:tours","tours/routes/payrexx-webhook.js",M,"Sicherheits-kritischer Code ohne Test. Fix: Unit-Tests für parsePhpNestedForm + Signature-Verify (pos/neg). Refs: BUG-37."
BUG-38,medium,next,"tours/ has 2 circular dependencies","audit-2026-04,severity:medium,type:code-smell,area:tours","tours/lib/subscriptions.js + tour-actions.js + renewal-invoice-pdf.js",M,"madge meldet 2 Zyklen, die undefined-Exports bei Init erzeugen können. Fix: Gemeinsame Konstanten in lib/renewal-types.js extrahieren. Refs: Phase 2 §4."
BUG-39,medium,next,"Migration runner: no checksum, no rollback","audit-2026-04,severity:medium,type:bug,area:core","core/migrate.js",S,"Keine SHA256 pro Migration, kein DOWN-Support. Fix: Checksum-Spalte in core.schema_migrations + CLI-Flag --verify. Refs: BUG-39."
BUG-40,medium,next,"No integration tests (DB + HTTP)","audit-2026-04,severity:medium,type:test,area:booking","booking/ + tours/",L,"Reine Pure-Function-Tests. Fix: Testcontainers (pg) + supertest. Refs: Phase 2 §6."
BUG-41,medium,next,"Tours test attempts real DB connect on module load","audit-2026-04,severity:medium,type:test,area:tours","tours/test/",S,"getEmailTemplates ECONNREFUSED beim Test-Lauf. Fix: Lazy-Init oder Mock-Pool in Tests. Refs: Phase 2 §6.2."
BUG-42,medium,next,"docker-compose.dev/.vps/.staging.nas drift","audit-2026-04,severity:medium,type:infra,area:infra","docker-compose*.yml",M,"Drei Files mit 40+ doppelten ENV-Vars. Fix: Base-Compose + Override-Files via extends. Refs: BUG-42."
BUG-43,medium,next,"No structured error response format","audit-2026-04,severity:medium,type:api,area:all","all API routes",M,"Fehler kommen als {error:'string'} zurück, ohne Code/Trace-ID. Fix: Einheitliches ProblemDetails-Format (RFC 7807). Refs: BUG-43."
BUG-44,medium,next,"SPA-in-Next anti-pattern via [[...slug]] catch-all","audit-2026-04,severity:medium,type:architecture,area:app","app/src/app/[[...slug]]/page.tsx",L,"Legacy-SPA läuft unter einer Catch-All-Route. SSR-Vorteile von Next-16 entfallen. Fix: Migration pages-legacy/ → native Next-App-Router-Routes. Refs: BUG-44, 30-ARCHITECTURE.md §5."
BUG-45,medium,next,"No automated DB backup documented","audit-2026-04,severity:medium,type:infra,area:infra","infra/",M,"Keine sichtbare Backup-Strategie. Fix: pg_dump + S3/R2 via Cron + Restore-Rehearsal. Refs: BUG-45."
BUG-46,medium,next,"No Sentry or similar error aggregation","audit-2026-04,severity:medium,type:observability,area:all","all services",M,"Runtime-Errors gehen in Logs verloren. Fix: Sentry + Source-Maps. Refs: BUG-46."
BUG-47,medium,next,"Logto config may still accept dev credentials","audit-2026-04,severity:medium,type:security,area:auth","auth/logto-client.js",S,"Dev-Config-Pfad könnte in Prod aktiv sein. Fix: NODE_ENV-Gate + Assertion. Refs: BUG-47."
BUG-48,medium,next,"booking/server.js is 13195 LOC monolith","audit-2026-04,severity:medium,type:architecture,area:booking","booking/server.js",L,"Wartbarkeit/Testbarkeit. Fix: Extraktion in Domain-Module (orders/, invoices/, mail/, webhooks/). Refs: BUG-48, 30-ARCHITECTURE.md §3."
BUG-49,medium,next,"Session-bridge middleware in platform/server.js","audit-2026-04,severity:medium,type:architecture,area:platform","platform/server.js:92-123",L,"bridgeBookingAdminSession verbindet booking-Session mit tours-Session. Tech-Debt durch halbe Auth-Unifizierung. Fix: Logto als zentraler IdP (30-ARCHITECTURE.md §2). Refs: BUG-49."
BUG-50,medium,next,"No ADRs for architectural decisions","audit-2026-04,severity:medium,type:docs,area:docs","docs/",S,"Entscheidungen (Express+Next-Split, node_modules-Trennung) sind nicht dokumentiert. Fix: docs/adr/ mit ADR-Template. Refs: BUG-50."
BUG-51,medium,next,"No lint config for booking/ and tours/","audit-2026-04,severity:medium,type:dx,area:booking","booking/ + tours/",S,"Kein ESLint → keine einheitlichen Stilregeln. Fix: .eslintrc.js mit eslint:recommended + n-Plugin. Refs: BUG-51."
BUG-52,medium,next,"No Prettier configured","audit-2026-04,severity:medium,type:dx,area:all","root",S,"Formatierung uneinheitlich. Fix: .prettierrc + lint-staged-Integration (siehe 40-DX §9). Refs: BUG-52."
BUG-53,medium,next,"README lacks quickstart for new devs","audit-2026-04,severity:medium,type:docs,area:docs","README.md",S,"Kein Schritt-für-Schritt-Onboarding. Fix: docs/ONBOARDING.md aus 40-DX-WORKFLOW.md §8. Refs: BUG-53."
BUG-54,medium,next,"No .editorconfig","audit-2026-04,severity:medium,type:dx,area:all","root",S,"Mix aus Tabs/Spaces in einzelnen Files. Fix: .editorconfig (40-DX §9). Refs: BUG-54."
BUG-55,medium,next,"No .env.example in repo root","audit-2026-04,severity:medium,type:docs,area:docs","root",S,"Erforderliche Variablen sind verstreut. Fix: .env.example (40-DX §7.2). Refs: BUG-55."
BUG-56,low,later,"Inconsistent German/English comment language","audit-2026-04,severity:low,type:code-smell,area:all","all modules",S,"Kommentare mischen DE/EN. Fix: English-only in Code, DE nur in Docs. Refs: BUG-56."
BUG-57,low,later,"Minor eslint warnings in pages-legacy/","audit-2026-04,severity:low,type:code-smell,area:app","app/src/pages-legacy/",S,"144 Probleme, viele in Legacy-Ordner. Fix: Nach Frontend-Migration obsolet. Refs: BUG-57."
BUG-58,low,later,"Unused imports/variables in app/","audit-2026-04,severity:low,type:code-smell,area:app","app/src/",S,"80 unused-vars warnings. Fix: ESLint --fix. Refs: BUG-58."
BUG-59,low,later,"Inconsistent API URL patterns","audit-2026-04,severity:low,type:api,area:all","all API routes",M,"/api/admin, /api/tours/admin, /tour-manager/admin — mehrere Stile. Fix: API-Convention in CONTRIBUTING.md. Refs: BUG-59."
BUG-60,low,later,"No OpenAPI/Swagger spec for APIs","audit-2026-04,severity:low,type:docs,area:docs","docs/",M,"Keine API-Doc. Fix: @fastify/swagger oder manual openapi.yaml. Refs: BUG-60."
